Label,Animal_Type,Image_File
indian ringneck ,Bird,animal_images/1633802583762_Indian Ringneck for sale.jpg
rottweiler puppy ,Dog,animal_images/1633802583996_Rottweiler Puppy for sale.jpg
rabbit ,Rabbit,animal_images/1633802584211_Rabbit for sale.jpg
cokatail bird ,Bird,animal_images/1633802584412_Cokatail bird for sale.jpg
apple konda pigeon ,Bird,animal_images/1633802584634_Apple Konda Pigeon for sale.jpg
racing homer pigeon ,Bird,animal_images/1633802584820_Racing homer pigeon for sale.jpg
koi carf ,Fish,animal_images/1633802585233_Koi carf for sale.jpg
white parrot fish ,Fish,animal_images/1633802585380_White Parrot Fish for sale.jpg
sig sag eel ,Fish,animal_images/1633802585555_Sig Sag Eel for sale.jpg
koi fish ,Fish,animal_images/1633802585786_koi fish for sale.jpg
lovebird ,Bird,animal_images/1633802585962_lovebird for sale.jpg
imported quality pug puppies ,Dog,animal_images/1633802586330_Imported quality pug Puppies for sale.jpg
good timing ,Bird,animal_images/1633802586535_good timing for sale.jpg
sunconer 08month old young pair ,Bird,animal_images/1633802586690_sunconer 08month old young pair for sale.jpg
korali fish ,Fish,animal_images/1633802586918_korali fish for sale.jpg
mosembic ,Fish,animal_images/1633802587093_Mosembic for sale.jpg
kitten for kind homes ,Cat,animal_images/1633802587283_Kitten for Kind Homes for sale.jpg
terrier puppies ,Dog,animal_images/1633802587490_terrier puppies for sale.jpg
pigeon ,Bird,animal_images/1633802587675_pigeon for sale.jpg
fantail pigeons ,Bird,animal_images/1633802588024_Fantail pigeons for sale.jpg
german sherperd long coat puppy ,Dog,animal_images/1633802588214_german sherperd long coat puppy for sale.jpg
labrador male ,Dog,animal_images/1633802588400_Labrador male for sale.jpg
oscar fish ,Fish,animal_images/1633802588594_Oscar Fish for sale.jpg
labrador female puppies ,Dog,animal_images/1633802588778_Labrador female puppies for sale.jpg
rottweiler puppies ,Dog,animal_images/1633802607298_ROTTWEILER PUPPIES for sale.jpg
dwarf hamster ,Guinea pig / mouse,animal_images/1633802607663_Dwarf Hamster for sale.jpg
shrimp ,Fish,animal_images/1633802607880_shrimp for sale.jpg
german shephard imported quality ckc registered pups ,Dog,animal_images/1633802608111_GERMAN SHEPHARD imported quality ckc Registered pups for sale.jpg
flower horn ,Fish,animal_images/1633802608326_flower horn for sale.jpg
green wing macaw baby ,Bird,animal_images/1633802608519_Green wing macaw baby for sale.jpg
orange mask african love birds ,Bird,animal_images/1633802608739_Orange Mask African Love Birds for sale.jpg
zebra fish ,Fish,animal_images/1633802608930_zebra fish for sale.jpg
jambo king pigeon ,Bird,animal_images/1633802609130_Jambo king pigeon for sale.jpg
germen sheperd ,Dog,animal_images/1633802609309_germen sheperd for sale.jpg
red melon and powder blue ,Fish,animal_images/1633802609693_Red Melon and Powder Blue for sale.jpg
long tail parrot nose ,Bird,animal_images/1633802609889_Long tail parrot nose for sale.jpg
rabbit ,Rabbit,animal_images/1633802610082_Rabbit for sale.jpg
persian kittens himalayan and black ,Cat,animal_images/1633802610227_Persian Kittens Himalayan and Black for sale.jpg
parrot beak long tail ,Bird,animal_images/1633802610385_Parrot Beak Long Tail for sale.jpg
marble catfish ,Fish,animal_images/1633802610564_Marble Catfish for sale.jpg
green parrot ,Bird,animal_images/1633802610773_Green Parrot for sale.jpg
lion pomeranian puppy ,Dog,animal_images/1633802610956_Lion Pomeranian Puppy for sale.jpg
lion shepherd puppies ,Dog,animal_images/1633802611145_Lion Shepherd Puppies for sale.jpg
koi carp fish ,Fish,animal_images/1633802611346_Koi Carp Fish for sale.jpg
rabbits ,Rabbit,animal_images/1633802611514_Rabbits for sale.jpg
breeding pigeon ,Bird,animal_images/1633802611727_Breeding pigeon for sale.jpg
shamo rooster ,Bird,animal_images/1633802611958_Shamo Rooster for sale.jpg
german shepherd puppies ,Dog,animal_images/1633802612200_German Shepherd Puppies for sale.jpg
dachshund puppies ,Dog,animal_images/1633802612561_Dachshund Puppies for sale.jpg
american bully male puppies ,Dog,animal_images/1633802632053_American Bully Male Puppies for sale.jpg
labrador puppies ,Dog,animal_images/1633802632231_Labrador Puppies for sale.jpg
lion german shepherd male ,Dog,animal_images/1633802632400_Lion German Shepherd Male for sale.jpg
pigeons ,Bird,animal_images/1633802632607_Pigeons for sale.jpg
cockatiel birds ,Bird,animal_images/1633802632770_Cockatiel Birds for sale.jpg
pineapple conure bird ,Bird,animal_images/1633802633164_Pineapple conure bird for sale.jpg
shih tzu puppies ,Dog,animal_images/1633802633355_Shih Tzu Puppies for sale.jpg
guinea pig (long hair) ,Guinea pig / mouse,animal_images/1633802633681_Guinea Pig Long Hair for sale.jpg
labrador retriever cream white puppies ,Dog,animal_images/1633802633854_Labrador Retriever Cream White Puppies for sale.jpg
discus - fish ,Fish,animal_images/1633802634039_Discus  Fish for sale.jpg
high quality ckc register labrador puppies ,Dog,animal_images/1633802634224_High Quality Ckc Register Labrador Puppies for sale.jpg
african love birds ,Bird,animal_images/1633802634471_African Love Birds for sale.jpg
lahore pigeon ,Bird,animal_images/1633802634687_Lahore Pigeon for sale.jpg
rottweiler puppies ,Dog,animal_images/1633802634857_Rottweiler Puppies for sale.jpg
lion shepherd puppies ,Dog,animal_images/1633802635025_Lion Shepherd Puppies for sale.jpg
german shepherd labrador cross puppy ,Dog,animal_images/1633802635226_German Shepherd Labrador Cross Puppy for sale.jpg
finches birds ,Bird,animal_images/1633802635404_Finches Birds for sale.jpg
love birds ,Bird,animal_images/1633802635603_Love Birds for sale.jpg
german shepherd longcoat puppies ,Dog,animal_images/1633802635827_German Shepherd Longcoat Puppies for sale.jpg
japanese spitz ,Dog,animal_images/1633802636012_Japanese spitz for sale.jpg
pingo guppy ,Fish,animal_images/1633802636227_Pingo guppy for sale.jpg
labrador retriever puppy ,Dog,animal_images/1633802636457_Labrador Retriever Puppy for sale.jpg
love birds ,Bird,animal_images/1633802636623_Love Birds for sale.jpg
rottweiler puppies ,Dog,animal_images/1633802636800_Rottweiler Puppies for sale.jpg
pigeons ,Bird,animal_images/1633802637015_Pigeons for sale.jpg
tibetan terrier puppies ,Dog,animal_images/1633802658999_Tibetan Terrier Puppies for sale.jpg
discus fishes ,Fish,animal_images/1633802659199_Discus Fishes for sale.jpg
german shepherd ,Dog,animal_images/1633802659415_German Shepherd for sale.jpg
carp fish ,Fish,animal_images/1633802659697_Carp Fish for sale.jpg
german shepherd female puppy ,Dog,animal_images/1633802659874_German Shepherd Female Puppy for sale.jpg
shih tzu puppy ,Dog,animal_images/1633802660072_Shih Tzu Puppy for sale.jpg
whale tail carp ,Fish,animal_images/1633802660286_Whale tail carp for sale.jpg
love bird ,Bird,animal_images/1633802660868_Love Bird for sale.jpg
rottweiler puppies ,Dog,animal_images/1633802661036_Rottweiler Puppies for sale.jpg
pigeon ,Bird,animal_images/1633802661214_Pigeon for sale.jpg
labrador black ckc puppies ,Dog,animal_images/1633802661382_labrador black CKC Puppies for sale.jpg
labrador retriever female puppy ,Dog,animal_images/1633802661589_Labrador Retriever Female Puppy for sale.jpg
rottweiler puppy ,Dog,animal_images/1633802661768_Rottweiler Puppy for sale.jpg
love birds ,Bird,animal_images/1633802661952_Love Birds for sale.jpg
rabbits ,Rabbit,animal_images/1633802662121_Rabbits for sale.jpg
dachshund puppy ,Dog,animal_images/1633802662384_Dachshund Puppy for sale.jpg
rottweiler puppies ,Dog,animal_images/1633802662569_Rottweiler Puppies for sale.jpg
doberman female dog ,Dog,animal_images/1633802662907_Doberman female dog for sale.jpg
lion shepherd female puppy ,Dog,animal_images/1633802663108_Lion Shepherd Female Puppy for sale.jpg
angel fish ,Fish,animal_images/1633802663321_Angel Fish for sale.jpg
guinea pigs ,Guinea pig / mouse,animal_images/1633802663503_Guinea Pigs for sale.jpg
lion shepherd puppy ,Dog,animal_images/1633802663710_Lion shepherd Puppy for sale.jpg
